Date,Return,Sigma_t,Zscore,Anomaly,Direction
2025-06-05,0.01916991610771923,0.021236787420240794,0.9026749540021469,FALSE,Normal
2025-06-09,0.042339829367691095,0.021119730588413165,2.004752342386405,FALSE,Normal
2025-06-10,-0.00405269045062262,0.02111855517386702,-0.19190188046754206,FALSE,Normal
2025-06-11,0.02010117932108635,0.021118543403673695,0.9518260297057055,FALSE,Normal
2025-06-12,0.0024844733276623288,0.021118543285814344,0.1176441620067227,FALSE,Normal
2025-06-13,-0.012484556662245794,0.021118543284634174,-0.5911656165853798,FALSE,Normal
2025-06-16,0.012484556662245794,0.021118543284622357,0.5911656165857107,FALSE,Normal
2025-06-17,0.017220597751670397,0.02111854328462224,0.8154254542835734,FALSE,Normal
2025-06-18,0.004866189651172803,0.021118543284622236,0.23042259996768752,FALSE,Normal
2025-06-19,0.004842624475788426,0.021118543284622236,0.22930674765407003,FALSE,Normal
2025-06-20,0.014388737452099676,0.021118543284622236,0.6813319109266897,FALSE,Normal
2025-06-23,-0.0413181493307313,0.021118543284622236,-1.9564867128320207,FALSE,Normal
2025-06-24,0.0220867874028432,0.021118543284622236,1.045848054251261,FALSE,Normal
2025-06-25,0.05202118475087936,0.021118543284622236,2.4632941794218977,FALSE,Normal
2025-06-26,-0.0351736141782677,0.021118543284622236,-1.665532215182657,FALSE,Normal
2025-06-27,-0.021713760223784462,0.021118543284622236,-1.028184564206928,FALSE,Normal
2025-06-30,-0.007343974255759278,0.021118543284622236,-0.3477500392324359,FALSE,Normal
2025-07-01,0.03144152583482018,0.021118543284622236,1.488811297780883,FALSE,Normal
2025-07-02,0.01652930195121094,0.021118543284622236,0.7826913877742213,FALSE,Normal
2025-07-03,0.00467290569939216,0.021118543284622236,0.22127026643901154,FALSE,Normal
2025-07-04,-0.018824085245636724,0.021118543284622236,-0.8913533945943964,FALSE,Normal
2025-07-07,-0.009546611883578748,0.021118543284622236,-0.4520487874052491,FALSE,Normal
2025-07-08,0.011919092237210549,0.021118543284622236,0.5643898860149887,FALSE,Normal
2025-07-09,-0.00713439411387462,0.021118543284622236,-0.3378260525700951,FALSE,Normal
2025-07-10,-0.007185659660875032,0.021118543284622236,-0.34025356597902146,FALSE,Normal
2025-07-11,0,0.021118543284622236,0,FALSE,Normal
2025-07-14,0.04235927383914273,0.021118543284622236,2.0057857811616784,FALSE,Normal
2025-07-15,-0.028039220064393078,0.021118543284622236,-1.327706162612562,FALSE,Normal
2025-07-16,-0.016726793805315054,0.021118543284622236,-0.7920429728453338,FALSE,Normal
2025-07-17,0.011976191046716878,0.021118543284622236,0.5670936146167577,FALSE,Normal
2025-07-18,0.0023781224049663763,0.021118543284622236,0.11260825961883647,FALSE,Normal
2025-07-21,-0.007151401157624804,0.021118543284622236,-0.3386313658685065,FALSE,Normal
2025-07-22,-0.012033839563724058,0.021118543284622236,-0.5698233728311491,FALSE,Normal
2025-07-23,0.07237696947119332,0.021118543284622236,3.4271762259234815,TRUE,Up
2025-07-24,-0.020478531343540496,0.021118543284622236,-0.9696943140227019,FALSE,Normal
2025-07-25,-0.00460830308619542,0.021118543284622236,-0.21821121959444148,FALSE,Normal
2025-07-28,0.009195467093100262,0.021118543284622236,0.43542146677304544,FALSE,Normal
2025-07-29,-0.0022909517465556917,0.021118543284622236,-0.10848057632004762,FALSE,Normal
2025-07-30,0.02267670867103,0.021118543284622236,1.0737818591655592,FALSE,Normal
2025-07-31,-0.045879605750693386,0.021118543284622236,-2.172479660758669,FALSE,Normal
2025-08-01,-0.014184634991956102,0.021118543284622236,-0.6716673020854068,FALSE,Normal
2025-08-04,0.004750602758598177,0.021118543284622236,0.2249493582285761,FALSE,Normal
2025-08-05,-0.0023724803536318007,0.021118543284622236,-0.1123410986097396,FALSE,Normal
2025-08-06,0,0.021118543284622236,0,FALSE,Normal
2025-08-07,0.009456335242035152,0.021118543284622236,0.4477740303669958,FALSE,Normal
2025-08-08,0,0.021118543284622236,0,FALSE,Normal
2025-08-11,0,0.021118543284622236,0,FALSE,Normal
2025-08-12,0.0023501773449545738,0.021118543284622236,0.11128501209957452,FALSE,Normal
2025-08-13,0.013986241974739855,0.021118543284622236,0.6622730453631304,FALSE,Normal
2025-08-14,0.0069204428445743815,0.021118543284622236,0.3276950853714233,FALSE,Normal
2025-08-18,-0.00460830308619542,0.021118543284622236,-0.21821121959444148,FALSE,Normal
2025-08-19,0.011481182373957566,0.021118543284622236,0.5436540872739907,FALSE,Normal
2025-08-20,0.0068259650703996755,0.021118543284622236,0.3232213973475196,FALSE,Normal
2025-08-21,0.004524894598288753,0.021118543284622236,0.21426168165602685,FALSE,Normal
